Record ID#,property_id,Refresh key: property,Floorplan Name,Refresh key: floorplan_name,Related Floorplan,rentable_unit_count,Floorplan - Total Beds,Bed Count Variance,occupied_count,PLR Signed Leases,preleased_count,Signed Leases Variance
1036,,The Caswell at Runnymeade,,B3.1,,4,,4,1,,0,0
1037,,The Caswell at Runnymeade,,B3.3,,2,,2,1,,0,0
1038,,The Caswell at Runnymeade,,C1,,16,,16,10,,0,0
1039,,The Caswell at Runnymeade,,C2,,32,,32,22,,0,0
1040,,The Caswell at Runnymeade,,Not Selected,,0,,0,0,,0,0
863,,The Dean Campustown,A1,A1,165,14,14,0,14,14,0,14
864,,The Dean Campustown,A2 Deluxe,A2 Deluxe,261,28,28,0,26,28,0,28
865,,The Dean Campustown,B1,B1,168,28,28,0,25,28,0,28
866,,The Dean Campustown,B2,B2,167,28,28,0,28,29,0,29
867,,The Dean Campustown,B3 XL,B3 XL,263,56,56,0,52,56,0,56
868,,The Dean Campustown,B4 XL,B4 XL,281,56,56,0,54,56,0,56
869,,The Dean Campustown,D1,D1,172,56,56,0,54,43,0,43
870,,The Dean Campustown,D2,D2,173,56,56,0,55,57,0,57
871,,The Dean Campustown,D3,D3,174,56,56,0,53,58,0,58
872,,The Dean Campustown,D4,D4,175,56,56,0,56,59,0,59
873,,The Dean Campustown,D5,D5,176,56,56,0,52,63,0,63
874,,The Dean Campustown,M1,M1,177,84,84,0,82,90,0,90
1008,,The Dean Campustown,,Not Selected,,0,,0,0,,0,0
876,,The Dean Campustown,S1,S1,178,42,42,0,41,45,0,45
877,,The Dean Campustown,S2,S2,179,28,28,0,27,29,0,29
878,,The Dean Campustown,S3 XL,S3 XL,262,28,28,0,28,28,0,28
958,,The Dean Reno,A1,A1,360,1,1,0,1,1,0,1
959,,The Dean Reno,B1,B1,361,36,36,0,34,35,0,35
960,,The Dean Reno,B2,B2,359,34,34,0,31,40,0,40
961,,The Dean Reno,C1,C1,362,3,3,0,3,2,0,2
962,,The Dean Reno,D1,D1,363,180,180,0,118,163,0,163
963,,The Dean Reno,D2,D2,364,140,140,0,92,120,0,120
964,,The Dean Reno,D3,D3,365,64,64,0,21,49,0,49
965,,The Dean Reno,D4,D4,366,45,45,0,27,28,0,28
966,,The Dean Reno,D5,D5,367,36,36,0,26,27,0,27
967,,The Dean Reno,E1,E1,368,90,90,0,84,74,0,74
989,,The Dean Reno,E1 Alt,E1 Alt,403,45,45,0,31,37,0,37
968,,The Dean Reno,E2,E2,358,54,54,0,48,46,0,46
969,,The Dean Reno,E3,E3,369,45,45,0,41,40,0,40
1009,,The Dean Reno,,Not Selected,,0,,0,0,,0,0
879,,The Rise at Northgate,A1,A1,221,36,36,0,21,24,0,24
880,,The Rise at Northgate,A2,A2,223,4,4,0,2,4,0,4
881,,The Rise at Northgate,A3 Penthouse,A3,224,1,1,0,0,1,0,1
