Lease ID,Lease Interval ID,Scheduled Charge ID,Charge Code ID,Charge Code,Charge Type,Charge Start Date,Charge End Date,Charge Amount,Charge Frequency,timestamp,owner,xQuery - Related Lease,Related Code,Charge Usage,Date Created,Date Modified,Record ID#,Record Owner,Last Modified By
"13,316,016","16,910,074","41,048,973","148,902",GMH Communities Covered,other,08-01-2023,07-31-2024,$16,Monthly,1669105271,gmh,,"148,902",,11-22-2022 06:18 PM,11-22-2022 06:18 PM,10731,JT Bailey <62477437.bhmt>,JT Bailey <62477437.bhmt>
"13,316,016","16,910,074","41,048,930","147,881",Base Rent,Base Rent,08-01-2023,07-31-2024,"$1,025",Monthly,1669105271,gmh,,"147,881",,11-22-2022 06:18 PM,11-22-2022 06:18 PM,10732,JT Bailey <62477437.bhmt>,JT Bailey <62477437.bhmt>
"13,316,053","16,860,495","40,839,620","147,881",Base Rent,Base Rent,08-01-2023,07-31-2024,$850,Monthly,1669105271,gmh,,"147,881",,11-22-2022 06:18 PM,11-22-2022 06:18 PM,10733,JT Bailey <62477437.bhmt>,JT Bailey <62477437.bhmt>
"13,316,053","16,860,495","40,839,775","148,902",GMH Communities Covered,other,08-01-2023,07-31-2024,$16,Monthly,1669105271,gmh,,"148,902",,11-22-2022 06:18 PM,11-22-2022 06:18 PM,10734,JT Bailey <62477437.bhmt>,JT Bailey <62477437.bhmt>
"13,316,528","16,861,099","40,840,237","148,902",GMH Communities Covered,other,08-01-2023,07-31-2024,$16,Monthly,1669105271,gmh,"32,455","148,902",,11-22-2022 06:18 PM,11-22-2022 06:18 PM,10735,JT Bailey <62477437.bhmt>,JT Bailey <62477437.bhmt>
"13,316,528","16,861,099","40,840,141","147,881",Base Rent,Base Rent,08-01-2023,07-31-2024,$930,Monthly,1669105271,gmh,"32,455","147,881",,11-22-2022 06:18 PM,11-22-2022 06:18 PM,10736,JT Bailey <62477437.bhmt>,JT Bailey <62477437.bhmt>
"13,316,528","16,861,099","40,840,238","148,134",Garage Parking,other,08-01-2023,07-31-2024,$20,Monthly,1669105271,gmh,"32,455","148,134",,11-22-2022 06:18 PM,11-22-2022 06:18 PM,10737,JT Bailey <62477437.bhmt>,JT Bailey <62477437.bhmt>
"13,316,975","16,857,258","40,830,736","147,881",Base Rent,Base Rent,08-01-2023,07-31-2024,$920,Monthly,1669105271,gmh,"31,661","147,881",,11-22-2022 06:18 PM,11-22-2022 06:18 PM,10738,JT Bailey <62477437.bhmt>,JT Bailey <62477437.bhmt>
"13,316,975","16,857,258","40,830,822","148,902",GMH Communities Covered,other,08-01-2023,07-31-2024,$16,Monthly,1669105271,gmh,"31,661","148,902",,11-22-2022 06:18 PM,11-22-2022 06:18 PM,10739,JT Bailey <62477437.bhmt>,JT Bailey <62477437.bhmt>
"13,316,981","16,901,419","40,998,017","147,881",Base Rent,Base Rent,08-01-2023,07-31-2024,$870,Monthly,1669105271,gmh,,"147,881",,11-22-2022 06:18 PM,11-22-2022 06:18 PM,10740,JT Bailey <62477437.bhmt>,JT Bailey <62477437.bhmt>
