Record ID#,Refresh key: property,Floorplan Name,Refresh key: floorplan_name,Related Floorplan,rentable_unit_count,Floorplan - Total Beds,xAudit - Bed Variance,occupied_count,"Floorplan - # of Signed Leases, Current Term",preleased_count,xAudit - Lease Variance,approved_count,completed_count,Date Created,Date Modified,excluded_unit_count,Floorplan - Property Name,Floorplan - Rentable Beds,Floorplan - Unit Type,Last Modified By,preleased_new_count,preleased_renewal_count,Property - Floorplan,property_id,Record Owner,Refresh key,units,xProperty Name,xUnit Type,xSigned Leases
707,908 S. 1st,B1,B1,38,8,8,0,8,8,0,8,8,0,07-12-2022 11:07 AM,07-18-2024 02:15 AM,0,Campustown 908 S. 1st,8,2 x 1,Connected Data Service <3000.e5kr>,0,0,,,Connected Data Service <3000.e5kr>,908 S. 1st_B1,8,908 S. 1st,,0
710,908 S. 1st,D1,D1,41,16,16,0,16,16,0,16,16,0,07-12-2022 11:07 AM,07-18-2024 02:15 AM,0,Campustown 908 S. 1st,16,4 x 4,Connected Data Service <3000.e5kr>,0,0,,,Connected Data Service <3000.e5kr>,908 S. 1st_D1,16,908 S. 1st,,0
711,908 S. 1st,M1 Murphy,M1 Murphy,43,12,12,0,10,13,0,13,11,0,07-12-2022 11:07 AM,07-18-2024 02:15 AM,0,Campustown 908 S. 1st,12,0 x 0,Connected Data Service <3000.e5kr>,0,0,,,Connected Data Service <3000.e5kr>,908 S. 1st_M1 Murphy,12,908 S. 1st,,0
731,1008 S. 4th,C1,C1,6,12,12,0,12,12,0,12,12,0,07-12-2022 12:41 PM,07-18-2024 02:15 AM,0,Campustown 1008 S. 4th,12,3 x 3,Connected Data Service <3000.e5kr>,0,0,,,Connected Data Service <3000.e5kr>,1008 S. 4th_C1,12,1008 S. 4th,,0
732,1008 S. 4th,D1,D1,7,16,16,0,16,16,0,16,16,0,07-12-2022 12:41 PM,07-18-2024 02:15 AM,0,Campustown 1008 S. 4th,16,4 x 2,Connected Data Service <3000.e5kr>,0,0,,,Connected Data Service <3000.e5kr>,1008 S. 4th_D1,16,1008 S. 4th,,0
734,1008 S. 4th,D2,D2,9,48,48,0,46,48,0,48,48,0,07-12-2022 12:41 PM,07-18-2024 02:15 AM,0,Campustown 1008 S. 4th,48,4 x 4,Connected Data Service <3000.e5kr>,0,0,,,Connected Data Service <3000.e5kr>,1008 S. 4th_D2,48,1008 S. 4th,,0
737,1008 S. 4th,M1 Murphy Balcony,M1 Murphy Balcony,12,12,12,0,9,13,0,13,12,0,07-12-2022 12:41 PM,07-18-2024 02:15 AM,0,Campustown 1008 S. 4th,12,0 x 1,Connected Data Service <3000.e5kr>,0,0,,,Connected Data Service <3000.e5kr>,1008 S. 4th_M1 Murphy Balcony,12,1008 S. 4th,,0
739,1008 S. 4th,S1,S1,13,4,4,0,4,4,0,4,4,0,07-12-2022 12:41 PM,07-18-2024 02:15 AM,0,Campustown 1008 S. 4th,4,0 x 1,Connected Data Service <3000.e5kr>,0,0,,,Connected Data Service <3000.e5kr>,1008 S. 4th_S1,4,1008 S. 4th,,0
753,307 E. Daniel,D1,D1,26,40,40,0,39,39,0,39,39,0,07-12-2022 12:41 PM,07-18-2024 02:15 AM,0,Campustown 307 E. Daniel,40,4 x 4,Connected Data Service <3000.e5kr>,0,0,,,Connected Data Service <3000.e5kr>,307 E. Daniel_D1,40,307 E. Daniel,,0
768,ANOVA uCity Square,A7,A7,351,5,5,0,4,5,0,5,4,0,07-12-2022 12:41 PM,07-18-2024 02:15 AM,0,ANOVA uCity Square,5,0 x 0,Connected Data Service <3000.e5kr>,0,0,,,Connected Data Service <3000.e5kr>,ANOVA uCity Square_A7,5,ANOVA uCity Square,,0
788,Shortbread Lofts,C3 (Private),C3,210,20,20,0,20,10,0,10,20,0,07-12-2022 12:41 PM,07-18-2024 02:15 AM,0,Shortbread Lofts,20,3 x 3,Connected Data Service <3000.e5kr>,0,0,,,Connected Data Service <3000.e5kr>,Shortbread Lofts_C3,20,Shortbread Lofts,,0
791,Shortbread Lofts,D2 (Private),D2,216,9,9,0,9,9,0,9,9,0,07-12-2022 12:41 PM,07-18-2024 02:15 AM,0,Shortbread Lofts,9,4 x 4,Connected Data Service <3000.e5kr>,0,0,,,Connected Data Service <3000.e5kr>,Shortbread Lofts_D2,9,Shortbread Lofts,,0
812,Station Nine,B2 Loft,B2 Loft,106,7,7,0,2,4,0,4,4,0,07-12-2022 12:41 PM,07-18-2024 02:15 AM,0,Station Nine,7,0 x 0,Connected Data Service <3000.e5kr>,0,0,,,Connected Data Service <3000.e5kr>,Station Nine_B2 Loft,7,Station Nine,,0
1027,The Caswell at Runnymeade,,A3,,16,,16,14,,0,0,10,0,02-03-2024 01:16 AM,07-18-2024 02:15 AM,0,,,,Connected Data Service <3000.e5kr>,0,0,,,Connected Data Service <3000.e5kr>,The Caswell at Runnymeade_A3,16,The Caswell at Runnymeade,,0
1037,The Caswell at Runnymeade,,B3.3,,2,,2,1,,0,0,0,0,02-03-2024 01:16 AM,07-18-2024 02:15 AM,0,,,,Connected Data Service <3000.e5kr>,0,0,,,Connected Data Service <3000.e5kr>,The Caswell at Runnymeade_B3.3,2,The Caswell at Runnymeade,,0
1038,The Caswell at Runnymeade,,C1,,16,,16,10,,0,0,10,0,02-03-2024 01:16 AM,07-18-2024 02:15 AM,0,,,,Connected Data Service <3000.e5kr>,0,0,,,Connected Data Service <3000.e5kr>,The Caswell at Runnymeade_C1,16,The Caswell at Runnymeade,,0
1039,The Caswell at Runnymeade,,C2,,32,,32,22,,0,0,20,1,02-03-2024 01:16 AM,07-18-2024 02:15 AM,0,,,,Connected Data Service <3000.e5kr>,0,0,,,Connected Data Service <3000.e5kr>,The Caswell at Runnymeade_C2,32,The Caswell at Runnymeade,,0
735,1008 S. 4th,D3 Balcony,D3 Balcony,10,12,12,0,12,13,0,13,12,0,07-12-2022 12:41 PM,07-17-2024 02:15 AM,0,Campustown 1008 S. 4th,12,4 x 4,Connected Data Service <3000.e5kr>,0,0,,,Connected Data Service <3000.e5kr>,1008 S. 4th_D3 Balcony,12,1008 S. 4th,,0
744,1047 Commonwealth Avenue,S11,S11,17,24,24,0,22,21,0,21,20,0,07-12-2022 12:41 PM,07-17-2024 02:15 AM,0,1047 Commonwealth Avenue,24,0 x 1,Connected Data Service <3000.e5kr>,0,0,,,Connected Data Service <3000.e5kr>,1047 Commonwealth Avenue_S11,24,1047 Commonwealth Avenue,,0
